"Year","Major#","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1968,2,"Ken Rosewall",2,"AUS","Rod Laver",1,"AUS","6–3, 6–1, 2–6, 6–2"
1968,3,"Rod Laver",1,"AUS","Tony Roche",15,"AUS","6–3, 6–4, 6–2"
1968,4,"Arthur Ashe",5,"USA","Tom Okker",8,"NED","14–12, 5–7, 6–3, 3–6, 6–3"
1969,1,"Rod Laver",1,"AUS","Andrés Gimeno",9,"ESP","6–3, 6–4, 7–5"
1969,2,"Rod Laver",1,"AUS","Ken Rosewall",4,"AUS","6–4, 6–3, 6–4"
1969,3,"Rod Laver",1,"AUS","John Newcombe",6," AUS","6–4, 5–7, 6–4, 6–4"
1969,4,"Rod Laver",1,"AUS","Tony Roche",3,"AUS","7–9, 6–1, 6–2, 6–2"
1970,1,"Arthur Ashe",4,"USA","Dick Crealy",12,"AUS","6–4, 9–7, 6–2"
1970,2,"Jan Kodeš",7,"TCH","Željko Franulović",5,"YUG","6–2, 6–4, 6–0"
1970,3,"John Newcombe",2,"AUS","Ken Rosewall",5,"AUS","5–7, 6–3, 6–2, 3–6, 6–1"
1970,4,"Ken Rosewall",3,"AUS","Tony Roche",4,"AUS","2–6, 6–4, 7–6(5–2), 6–3"
1971,1,"Ken Rosewall",2,"AUS","Arthur Ashe",3,"USA","6–1, 7–5, 6–3"
1971,2,"Jan Kodeš",1,"TCH","Ilie Năstase",3,"ROU","8–6, 6–2, 2–6, 7–5"
1971,3,"John Newcombe",2,"AUS","Stan Smith",4,"USA","6–3, 5–7, 2–6, 6–4, 6–4"
1971,4,"Stan Smith",2,"USA","Jan Kodeš",0,"TCH","3–6, 6–3, 6–2, 7–6(5–3)"
1972,1,"Ken Rosewall",2,"AUS","Malcolm Anderson",8,"AUS","7–6(7–2), 6–3, 7–5"
1972,2,"Andrés Gimeno",6,"ESP","Patrick Proisy",9,"FRA","4–6, 6–3, 6–1, 6–1"
1972,3,"Stan Smith",1,"USA","Ilie Năstase",2,"ROM","4–6, 6–3, 6–3, 4–6, 7–5"
1972,4,"Ilie Năstase",4,"ROU","Arthur Ashe",6,"USA","3–6, 6–3, 6–7(1–5), 6–4, 6–3"
1973,1,"John Newcombe",2,"AUS","Onny Parun",12,"NZL","6–3, 6–7, 7–5, 6–1"
1973,2,"Ilie Năstase",2,"ROU","Nikola Pilić",0,"YUG","6–3, 6–3, 6–0"
1973,3,"Jan Kodeš",2,"TCH","Alex Metreveli",4,"URS","6–1, 9–8(7–5), 6–3"
1973,4,"John Newcombe",10,"AUS","Jan Kodeš",6,"TCH","6–4, 1–6, 4–6, 6–2, 6–3"
1974,1,"Jimmy Connors",2,"USA","Phil Dent",9,"AUS","7–6(9–7), 6–4, 4–6, 6–3"
1974,2,"Björn Borg",3,"SWE","Manuel Orantes",14,"ESP","2–6, 6–7(1–7), 6–0, 6–1, 6–1"
1974,3,"Jimmy Connors",3,"USA","Ken Rosewall",9,"AUS","6–1, 6–1, 6–4"
1974,4,"Jimmy Connors",1,"USA","Ken Rosewall",5,"AUS","6–1, 6–0, 6–1"
1975,1,"John Newcombe",2,"AUS","Jimmy Connors",1,"USA","7–5, 3–6, 6–4, 7–6(9–7)"
1975,2,"Björn Borg",1,"SWE","Guillermo Vilas",4,"ARG","6–2, 6–3, 6–4"
1975,3,"Arthur Ashe",6,"USA","Jimmy Connors",1,"USA","6–1, 6–1, 5–7, 6–4"
1975,4,"Manuel Orantes",3,"ESP","Jimmy Connors",1,"USA","6–4, 6–3, 6–3"
1976,1,"Mark Edmondson",0,"AUS","John Newcombe",2,"AUS","6–7, 6–3, 7–6, 6–1"
1976,2,"Adriano Panatta",8,"ITA","Harold Solomon",7,"USA","6–1, 6–4, 4–6, 7–6(7–3)"
1976,3,"Björn Borg",4,"SWE","Ilie Năstase",3,"ROM","6–4, 6–2, 9–7"
1976,4,"Jimmy Connors",1,"USA","Björn Borg",2,"SWE","6–4, 3–6, 7–6(11–9), 6–4"
1977,1,"Roscoe Tanner",2,"USA","Guillermo Vilas",1,"ARG","6–3, 6–3, 6–3"
1977,1,"Vitas Gerulaitis",1,"USA","John Lloyd",0,"GBR","6–3, 7–6(7–1), 5–7, 3–6, 6–2"
1977,2,"Guillermo Vilas",3,"ARG","Brian Gottfried",5,"USA","6–0, 6–3, 6–0"
1977,3,"Björn Borg",2,"SWE","Jimmy Connors",1,"USA","3–6, 6–2, 6–1, 5–7, 6–4"
1977,4,"Guillermo Vilas",4,"ARG","Jimmy Connors",2,"USA","2–6, 6–3, 7–6(7–4), 6–0"
1978,1,"Guillermo Vilas",1,"ARG","John Marks",0,"AUS","6–4, 6–4, 3–6, 6–3"
1978,2,"Björn Borg",1,"SWE","Guillermo Vilas",2,"ARG","6–1, 6–1, 6–3"
1978,3,"Björn Borg",1,"SWE","Jimmy Connors",2,"USA","6–2, 6–2, 6–3"
1978,4,"Jimmy Connors",2,"USA","Björn Borg",1,"SWE","6–4, 6–2, 6–2"
1979,1,"Guillermo Vilas",1,"ARG","John Sadri",6,"USA","7–6(7–4), 6–3, 6–2"
1979,2,"Björn Borg",1,"SWE","Víctor Pecci",0,"PAR","6–3, 6–1, 6–7(6–8), 6–4"
1979,3,"Björn Borg",1,"SWE","Roscoe Tanner",5,"USA","6–7(4–7), 6–1, 3–6, 6–3, 6–4"
1979,4,"John McEnroe",3,"USA","Vitas Gerulaitis",4,"USA","7–5, 6–3, 6–3"
1980,1,"Brian Teacher",8,"USA","Kim Warwick",14,"AUS","7–5, 7–6(7–4), 6–3"
1980,2,"Björn Borg",1,"SWE","Vitas Gerulaitis",5,"USA","6–4, 6–1, 6–2"
1980,3,"Björn Borg",1,"SWE","John McEnroe",2,"USA","1–6, 7–5, 6–3, 6–7(16–18), 8–6"
1980,4,"John McEnroe",2,"USA","Björn Borg",1,"SWE","7–6(7–4), 6–1, 6–7(5–7), 5–7, 6–4"
1981,1,"Johan Kriek",4,"RSA","Steve Denton",0,"USA","6–2, 7–6(7–1), 6–7(1–7), 6–4"
1981,2,"Björn Borg",1,"SWE","Ivan Lendl",5,"TCH","6–1, 4–6, 6–2, 3–6, 6–1"
1981,3,"John McEnroe",2,"USA","Björn Borg",1,"SWE","4–6, 7–6(7–1), 7–6(7–4), 6–4"
1981,4,"John McEnroe",1,"USA","Björn Borg",2,"SWE","4–6, 6–2, 6–4, 6–3"
1982,1,"Johan Kriek",1,"USA","Steve Denton",2,"USA","6–3, 6–3, 6–2"
1982,2,"Mats Wilander",0,"SWE","Guillermo Vilas",3,"ARG","1–6, 7–6(8–6), 6–0, 6–4"
1982,3,"Jimmy Connors",2,"USA","John McEnroe",1,"USA","3–6, 6–3, 6–7(2–7), 7–6(7–5), 6–4"
1982,4,"Jimmy Connors",2,"USA","Ivan Lendl",3,"TCH","6–3, 6–2, 4–6, 6–4"
1983,1,"Mats Wilander",3,"SWE","Ivan Lendl",1,"TCH","6–1, 6–4, 6–4"
1983,2,"Yannick Noah",6,"FRA","Mats Wilander",5,"SWE","6–2, 7–5, 7–6(7–3)"
1983,3,"John McEnroe",2,"USA","Chris Lewis",0,"NZL","6–2, 6–2, 6–2"
1983,4,"Jimmy Connors",3,"USA","Ivan Lendl",2,"TCH","6–3, 6–7(2–7), 7–5, 6–0"
1984,1,"Mats Wilander",2,"SWE","Kevin Curren",9,"RSA","6–7(5–7), 6–4, 7–6(7–3), 6–2"
1984,2,"Ivan Lendl",2,"TCH","John McEnroe",1,"USA","3–6, 2–6, 6–4, 7–5, 7–5"
1984,3,"John McEnroe",1,"USA","Jimmy Connors",3,"USA","6–1, 6–1, 6–2"
1984,4,"John McEnroe",1,"USA","Ivan Lendl",2,"TCH","6–3, 6–4, 6–1"
1985,1,"Stefan Edberg",6,"SWE","Mats Wilander",3,"SWE","6–4, 6–3, 6–3"
1985,2,"Mats Wilander",4,"SWE","Ivan Lendl",2,"TCH","3–6, 6–4, 6–2, 6–2"
1985,3,"Boris Becker",0,"FRG","Kevin Curren",8,"USA","6–3, 6–7(4–7), 7–6(7–3), 6–4"
1985,4,"Ivan Lendl",2,"TCH","John McEnroe",1,"USA","7–6(7–1), 6–3, 6–4"
1986,2,"Ivan Lendl",1,"TCH","Mikael Pernfors",0,"SWE","6–3, 6–2, 6–4"
1986,3,"Boris Becker",4,"FRG","Ivan Lendl",1," TCH","6–4, 6–3, 7–5"
1986,4,"Ivan Lendl",1,"TCH","Miloslav Mečíř",16,"TCH","6–4, 6–2, 6–0"
1987,1,"Stefan Edberg",4,"SWE","Pat Cash",11,"AUS","6–3, 6–4, 3–6, 5–7, 6–3"
1987,2,"Ivan Lendl",1,"TCH","Mats Wilander",4,"SWE","7–5, 6–2, 3–6, 7–6(7–3)"
1987,3,"Pat Cash",11,"AUS","Ivan Lendl",2," TCH","7–6(7–5), 6–2, 7–5"
1987,4,"Ivan Lendl",1,"TCH","Mats Wilander",3,"SWE","6–7(7–9), 6–0, 7–6(7–4), 6–4"
1988,1,"Mats Wilander",3,"SWE","Pat Cash",4,"AUS","6–3, 6–7(3–7), 3–6, 6–1, 8–6"
1988,2,"Mats Wilander",3,"SWE","Henri Leconte",1,"FRA","7–5, 6–2, 6–1"
1988,3,"Stefan Edberg",3,"SWE","Boris Becker",6," FRG","4–6, 7–6(7–2), 6–4, 6–2"
1988,4,"Mats Wilander",2,"SWE","Ivan Lendl",1,"TCH","6–4, 4–6, 6–3, 5–7, 6–4"
1989,1,"Ivan Lendl",2,"TCH","Miloslav Mečíř",9,"TCH","6–2, 6–2, 6–2"
1989,2,"Michael Chang",15,"USA","Stefan Edberg",3,"SWE","6–1, 3–6, 4–6, 6–4, 6–2"
1989,3,"Boris Becker",3,"FRG","Stefan Edberg",2,"SWE","6–0, 7–6(7–1), 6–4"
1989,4,"Boris Becker",2,"FRG","Ivan Lendl",1,"TCH","7–6(7–2), 1–6, 6–3, 7–6(7–4)"
1990,1,"Ivan Lendl",1,"TCH","Stefan Edberg",3,"SWE","4–6, 7–6(7–3), 5–2 retired"
1990,2,"Andrés Gómez",4,"ECU","Andre Agassi",3,"USA","6–3, 2–6, 6–4, 6–4"
1990,3,"Stefan Edberg",3,"SWE","Boris Becker",2,"FRG","6–2, 6–2, 3–6, 3–6, 6–4"
1990,4,"Pete Sampras",12,"USA","Andre Agassi",4,"USA","6–4, 6–3, 6–2"
1991,1,"Boris Becker",2,"GER","Ivan Lendl",3,"TCH","1–6, 6–4, 6–4, 6–4"
1991,2,"Jim Courier",9,"USA","Andre Agassi",4,"USA","3–6, 6–4, 2–6, 6–1, 6–4"
1991,3,"Michael Stich",6,"GER","Boris Becker",2,"GER","6–4, 7–6(7–4), 6–4"
1991,4,"Stefan Edberg",2,"SWE","Jim Courier",4,"USA","6–2, 6–4, 6–0"
1992,1,"Jim Courier",2,"USA","Stefan Edberg",1,"SWE","6–3, 3–6, 6–4, 6–2"
1992,2,"Jim Courier",1,"USA","Petr Korda",7,"TCH","7–5, 6–2, 6–1"
1992,3,"Andre Agassi",12,"USA","Goran Ivanišević",8,"CRO","6–7(8–10), 6–4, 6–4, 1–6, 6–4"
1992,4,"Stefan Edberg",2,"SWE","Pete Sampras",3,"USA","3–6, 6–4, 7–6(7–5), 6–2"
1993,1,"Jim Courier",1,"USA","Stefan Edberg",2,"SWE","6–2, 6–1, 2–6, 7–5"
1993,2,"Sergi Bruguera",10,"ESP","Jim Courier",2,"USA","6–4, 2–6, 6–2, 3–6, 6–3"
1993,3,"Pete Sampras",1,"USA","Jim Courier",3,"USA","7–6(7–3), 7–6(8–6), 3–6, 6–3"
1993,4,"Pete Sampras",2,"USA","Cédric Pioline",15,"FRA","6–4, 6–4, 6–3"
1994,1,"Pete Sampras",1,"USA","Todd Martin",9,"USA","7–6(7–4), 6–4, 6–4"
1994,2,"Sergi Bruguera",6,"ESP","Alberto Berasategui",0,"ESP","6–3, 7–5, 2–6, 6–1"
1994,3,"Pete Sampras",1,"USA","Goran Ivanišević",4,"CRO","7–6(7–2), 7–6(7–5), 6–0"
1994,4,"Andre Agassi",0,"USA","Michael Stich",4,"GER","6–1, 7–6(7–5), 7–5"
1995,1,"Andre Agassi",2,"USA","Pete Sampras",1,"USA","4–6, 6–1, 7–6(8–6), 6–4"
1995,2,"Thomas Muster",5,"AUT","Michael Chang",6,"USA","7–5, 6–2, 6–4"
1995,3,"Pete Sampras",2,"USA","Boris Becker",3,"GER","6–7(5–7), 6–2, 6–4, 6–2"
1995,4,"Pete Sampras",2,"USA","Andre Agassi",1,"USA","6–4, 6–3, 4–6, 7–5"
1996,1,"Boris Becker",4,"GER","Michael Chang",5,"USA","6–2, 6–4, 2–6, 6–2"
1996,2,"Yevgeny Kafelnikov",6,"RUS","Michael Stich",15,"GER","7–6(7–4), 7–5, 7–6(7–4)"
1996,3,"Richard Krajicek",17,"NED","MaliVai Washington",0,"USA","6–3, 6–4, 6–3"
1996,4,"Pete Sampras",1,"USA","Michael Chang",2,"USA","6–1, 6–4, 7–6(7–3)"
1997,1,"Pete Sampras",1,"USA","Carlos Moyá",0,"ESP","6–2, 6–3, 6–3"
1997,2,"Gustavo Kuerten",0,"BRA","Sergi Bruguera",16,"ESP","6–3, 6–4, 6–2"
1997,3,"Pete Sampras",1,"USA","Cédric Pioline",0,"FRA","6–4, 6–2, 6–4"
1997,4,"Patrick Rafter",13,"AUS","Greg Rusedski",0,"GBR","6–3, 6–2, 4–6, 7–5"
1998,1,"Petr Korda",6,"CZE","Marcelo Ríos",9,"CHI","6–2, 6–2, 6–2"
1998,2,"Carlos Moyá",12,"ESP","Àlex Corretja",14,"ESP","6–3, 7–5, 6–3"
1998,3,"Pete Sampras",1,"USA","Goran Ivanišević",14,"CRO","6–7(2–7), 7–6(11–9), 6–4, 3–6, 6–2"
1998,4,"Patrick Rafter",3,"AUS","Mark Philippoussis",0,"AUS","6–3, 3–6, 6–2, 6–0"
1999,1,"Yevgeny Kafelnikov",10,"RUS","Thomas Enqvist",0,"SWE","4–6, 6–0, 6–3, 7–6(7–1)"
1999,2,"Andre Agassi",13,"USA","Andrei Medvedev",0,"UKR","1–6, 2–6, 6–4, 6–3, 6–4"
1999,3,"Pete Sampras",1,"USA","Andre Agassi",4,"USA","6–3, 6–4, 7–5"
1999,4,"Andre Agassi",2,"USA","Todd Martin",7,"USA","6–4, 6–7(5–7), 6–7(2–7), 6–3, 6–2"
2000,1,"Andre Agassi",1,"USA","Yevgeny Kafelnikov",2,"RUS","3–6, 6–3, 6–2, 6–4"
2000,2,"Gustavo Kuerten",5,"BRA","Magnus Norman",3,"SWE","6–2, 6–3, 2–6, 7–6(8–6)"
2000,3,"Pete Sampras",1,"USA","Patrick Rafter",12,"AUS","6–7(10–12), 7–6(7–5), 6–4, 6–2"
2000,4,"Marat Safin",6,"RUS","Pete Sampras",4,"USA","6–4, 6–3, 6–3"
2001,1,"Andre Agassi",6,"USA","Arnaud Clément",15,"FRA","6–4, 6–2, 6–2"
2001,2,"Gustavo Kuerten",1,"BRA","Àlex Corretja",13,"ESP","6–7(3–7), 7–5, 6–2, 6–0"
2001,3,"Goran Ivanišević",0,"CRO","Patrick Rafter",3,"AUS","6–3, 3–6, 6–3, 2–6, 9–7"
2001,4,"Lleyton Hewitt",4,"AUS","Pete Sampras",10,"USA","7–6(7–4), 6–1, 6–1"
